SMILES,Activity,scaffold_global_id
Cc1cccc2c(CN(C)C(=O)/C=C/c3cnc4c(c3)CCC(=O)N4)c(C)n(C)c12,1,1
C[C@]1(COC(=O)CCl)[C@H](C(=O)[O-])N2C(=O)/C(=C/C(=O)[O-])C2S1(=O)=O.[Na+].[Na+],1,2
C[C@]1(/C=C/C#N)[C@H](C(=O)[O-])N2C(=O)/C(=C/C(=O)[O-])C2S1(=O)=O.[Na+].[Na+],0,2
COC(=O)/C=C1/C(=O)N2C1S(=O)(=O)[C@@](C)(COC(C)=O)[C@@H]2C(=O)[O-].[Na+],0,2
C[C@]1(COC(=O)Cc2ccccc2)[C@H](C(=O)[O-])N2C(=O)/C(=C/c3ccccn3)C2S1(=O)=O.[Na+],1,3
CN(Cc1cc2ccccc2n1C)C(=O)/C=C/c1ccc(N)nc1,0,4
CN(Cc1cn(C)c2ccccc12)C(=O)/C=C/c1cnc2c(c1)CCC(=O)N2,1,1
C[C@]1(COC=O)[C@H](C(=O)[O-])N2C(=O)/C(=C/C(=O)[O-])C2S1(=O)=O.[Na+].[Na+],1,2
CC(=O)Nc1ccc(/C=C/C(=O)N(C)Cc2cc3ccccc3n2C)cn1,1,4
CC(=O)OC[C@@]1(C)[C@H](C(=O)[O-])N2C(=O)/C(=C/c3ccccn3)C2S1(=O)=O.[Na+],1,6
COC(=O)/C=C1/C(=O)N2C1S(=O)(=O)[C@@](C)(CCl)[C@@H]2C(=O)[O-].[Na+],0,2
Cc1c(CN(C)C(=O)/C=C/c2cnc3c(c2)CCC(=O)N3)c2ccccc2n1C,1,1
Cc1cc(/C=C/C(=O)N(C)Cc2cc3ccccc3n2C)cnc1N,1,4
Cc1[nH]c2ccccc2c1CN(C)C(=O)/C=C/c1cnc2c(c1)CCC(=O)N2,1,1
C[C@]1(COC(=O)Cc2ccc(O)c(O)c2)[C@H](C(=O)[O-])N2C(=O)/C(=C/c3ccccn3)C2S1(=O)=O.[Na+],1,3
C[C@]1(COC(=O)Cc2ccccc2)[C@H](C(=O)[O-])N2C(=O)/C(=C/C(=O)[O-])C2S1(=O)=O.[Na+].[Na+],1,7
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,1,8
CC1(C)[C@H](C(=O)[O-])N2C(=O)/C(=C/C(=O)[O-])C2S1(=O)=O.[Na+].[Na+],0,2
CC(=O)OC[C@@]1(C)[C@H](C(=O)[O-])N2C(=O)/C(=C/C(N)=O)C2S1(=O)=O.[Na+],0,2
C[C@]1(COC(=O)Cc2ccc(O)c(O)c2)[C@H](C(=O)[O-])N2C(=O)/C(=C/C(=O)[O-])C2S1(=O)=O.[Na+].[Na+],1,7
CN(Cc1cc2ccccc2n1C)C(=O)/C=C/c1cnc2c(c1)CCC(=O)N2,1,9
CN(Cc1cc2ccccc2n1C)C(=O)/C=C/c1cnc2c(c1)CCCN2,0,10
CC(=O)Nc1ncc(/C=C/C(=O)N(C)Cc2cc3ccccc3n2C)cc1C,1,4
C[C@]1(Cn2ccnn2)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O.[Na+],0,11
CC(=O)OC[C@@]1(C)[C@H](C(=O)[O-])N2C(=O)/C(=C/C(=O)[O-])C2S1(=O)=O.[Na+].[Na+],1,2
O=c1cc(NCCCNCc2ccc(Cl)c(Cl)c2)[nH]c2ccccc12,1,13
COc1ccc(/C(C#N)=C/c2ccccc2OC)cc1,0,14
COc1ccc(/C=C(\C#N)c2ccc(OC)cc2)cc1,0,14
COc1ccc(/C(C#N)=C/c2cc(OC)cc(OC)c2)cc1,0,14
COc1ccc(/C(C#N)=C/c2ccc(OC)c(OC)c2)cc1,0,14
COc1ccc(/C(C#N)=C/c2cccc(OC)c2)cc1,0,14
COc1ccc(/C(C#N)=C/c2cc(OC)ccc2OC)cc1,0,14
CCC(C)[C@H](N)C(=O)NS(=O)(=O)OC[C@H]1O[C@@H](c2nc(-c3ccccc3OC)cs2)[C@H](O)[C@@H]1O,1,15
CCC(C)[C@H](N)C(=O)NS(=O)(=O)OC[C@H]1O[C@@H](c2nc(-c3cccc(OC)c3)cs2)[C@H](O)[C@@H]1O,1,15
CC(C)C[C@H](N)C(=O)NS(=O)(=O)OC[C@H]1O[C@@H](c2nc(CCc3ccccc3)cs2)[C@H](O)[C@@H]1O,1,17
CCC(C)[C@H](N)C(=O)NS(=O)(=O)OC[C@H]1O[C@@H](c2nc(-c3ccc(OC)cc3)cs2)[C@H](O)[C@@H]1O,1,15
CCC(C)[C@H](N)C(=O)NS(=O)(=O)OC[C@H]1O[C@@H](c2nc(-c3ccc(Oc4ccccc4)cc3)cs2)[C@H](O)[C@@H]1O,1,21
CC[C@H](C)[C@H](N)C(=O)NS(=O)(=O)OC[C@H]1O[C@@H](c2nc(-c3ccccc3)cs2)[C@H](O)[C@@H]1O,0,15
CCC(C)[C@H](N)C(=O)NS(=O)(=O)OC[C@H]1O[C@@H](c2nc(CCc3ccccc3)cs2)[C@H](O)[C@@H]1O,1,17
Oc1cc(NC[C@H]2CC[C@H]2NCc2ccc(Cl)c(Cl)c2)nc2ccccc12,1,22
Oc1cc(N[C@H]2CCC[C@H](NCc3ccc(Cl)c(Cl)c3)C2)nc2ccccc12,1,24
Oc1cc(N[C@@H]2CCC[C@H](NCc3ccc(Cl)c(Cl)c3)C2)nc2ccccc12,1,24
Oc1cc(NC[C@H]2CC[C@@H]2NCc2ccc(Cl)c(Cl)c2)nc2ccccc12,1,22
Oc1cc(NC[C@H]2OCC[C@@H]2NCc2ccc(Cl)c(Cl)c2)nc2ccccc12,1,25
CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,0,26
C[C@]12C[C@@]1(C(=O)O)N1C(=O)C[C@H]1S2(=O)=O,0,27
Oc1cc(NCc2ccccc2NCc2ccc(Cl)c(Cl)c2)nc2ccccc12,1,28
Oc1cc(N[C@H]2CC[C@H](NCc3ccc(Cl)c(Cl)c3)CC2)nc2ccccc12,0,29
Oc1cc(NCC2=CCCC2NCc2ccc(Cl)c(Cl)c2)nc2ccccc12,1,30
CC[C@H](C)[C@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](C)NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)CCCOc2ccc(C(=O)c3ccccc3)cc2)[C@@H](C)O)CSC(=O)[C@@H](CCSC)NC1=O,1,31
CC(=O)OCC1=C(C(=O)[O-])N2C(=O)/C(=C/C(=O)OC(C)(C)C)[C@H]2S(=O)(=O)C1.[Na+],1,32
CC[C@H]1NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@@H](N)Cc2ccc(O)cc2)[C@@H](C)O)CSC(=O)[C@@H](CCSC)NC(=O)[C@@H]([C@@H](C)CC)NC(=O)[C@@H](Cc2ccccc2)NC1=O,1,33
CC[C@H](C)[C@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](C)NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@@H](N)Cc2ccc(O)cc2)[C@@H](C)O)CSC(=O)[C@@H](CCSC)NC1=O,1,33
CC(=O)OCC1=C(C(=O)[O-])N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1.[Na+],0,34
CC1=C(C(=O)[O-])N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1C.[Na+],0,34
